_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa07627e1a,David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.596,0.73,-4.091,0.151,0.24,0,0.325,0.525,85.979
6757c5642c5d5bfa0762793d,Eminem,Cleanin' Out My Closet,0.908,0.758,-4.753,0.174,0.0687,0,0.0783,0.87,148.015
6757c5642c5d5bfa07627d8e,Blake Shelton,Sure Be Cool If You Did,0.576,0.726,-4.625,0.035,0.255,0,0.108,0.582,136.802
6757c5642c5d5bfa07627fab,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601,0.794,-5.844,0.0671,0.00987,0.00000136,0.388,0.244,114.066
6757c5642c5d5bfa07627d77,Rudimental,Waiting All Night (feat. Ella Eyre),0.544,0.728,-5.358,0.05,0.00264,0.00959,0.427,0.281,174.983
6757c5642c5d5bfa07627f8a,Rita Ora,Anywhere,0.628,0.797,-3.953,0.0596,0.0364,0,0.104,0.321,106.93
6757c5642c5d5bfa07627a18,Beyoncé,"Me, Myself and I",0.75,0.458,-9.092,0.0803,0.226,0.0000325,0.137,0.536,83.61
6757c5642c5d5bfa07627cfa,DJ Fresh,Hot Right Now (feat. RITA ORA) - Radio Edit,0.524,0.972,-1.569,0.0431,0.00656,0.00058,0.224,0.476,175.017
6757c5642c5d5bfa07627f77,Jonas Blue,Rise,0.687,0.785,-4.65,0.0333,0.327,0,0.203,0.655,106.046
6757c5642c5d5bfa0762788a,All Saints,Pure Shores,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.0696,0.407,100.618
6757c5642c5d5bfa0762784e,Melanie C,I Turn To You,0.522,0.803,-5.825,0.0327,0.00117,0.00167,0.31,0.0783,135.205
6757c5642c5d5bfa07627ef0,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,0.259,0.437,-6.589,0.0386,0.102,0.00000132,0.106,0.0951,180.042
6757c5642c5d5bfa07627ef8,Imagine Dragons,Whatever It Takes,0.672,0.655,-5.021,0.0311,0.0362,0,0.117,0.556,134.945
6757c5642c5d5bfa07627afd,Alex Gaudino,Destination Calabria - Radio Edit,0.627,0.954,-4.804,0.0425,0.0015,0.000814,0.292,0.312,128.016
6757c5642c5d5bfa07627e25,Flo Rida,GDFR (feat. Sage the Gemini & Lookas),0.657,0.827,-4.036,0.0734,0.000704,0.00534,0.065,0.69,145.889
6757c5642c5d5bfa07627e40,Selena Gomez,Same Old Love,0.672,0.593,-4.01,0.0304,0.0223,0,0.214,0.438,98.02
6757c5642c5d5bfa076278e6,Janet Jackson,All For You,0.753,0.934,-3.011,0.0736,0.0174,0.065,0.128,0.73,113.525
6757c5642c5d5bfa07627d1c,MARINA,How to Be a Heartbreaker,0.69,0.897,-4.696,0.0506,0.0142,0,0.108,0.849,140.05
6757c5642c5d5bfa07627f15,David Guetta,2U (feat. Justin Bieber),0.548,0.65,-5.827,0.0591,0.219,0,0.225,0.557,144.937
6757c5642c5d5bfa07627977,Three Days Grace,I Hate Everything About You,0.498,0.83,-5.157,0.0421,0.00461,0,0.139,0.453,89.342
6757c5642c5d5bfa07627d3a,Gym Class Heroes,Ass Back Home (feat. Neon Hitch),0.716,0.838,-4.289,0.0513,0.134,0,0.148,0.646,130.034
6757c5642c5d5bfa07627cf2,The Wanted,Chasing The Sun,0.637,0.732,-6.209,0.0965,0.244,0,0.498,0.68,128.108
6757c5642c5d5bfa076278c9,Case,Missing You,0.612,0.579,-6.417,0.0553,0.285,0,0.0556,0.716,86.31
6757c5642c5d5bfa076278f4,Travis,Sing,0.33,0.905,-5.047,0.0497,0.000233,0.00000814,0.0712,0.259,163.142
6757c5642c5d5bfa07627ea5,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),0.728,0.563,-8.053,0.134,0.621,0,0.179,0.352,100.017
6757c5642c5d5bfa07627c2c,Lucenzo,Danza Kuduro (feat. Don Omar),0.622,0.942,-6.365,0.112,0.00713,0,0.0715,0.773,130.003
6757c5642c5d5bfa07627c1a,Katy Perry,Waking Up In Vegas,0.524,0.878,-3.108,0.0346,0.0012,0,0.098,0.59,130.989
6757c5642c5d5bfa07627873,P!nk,Most Girls,0.742,0.732,-6.046,0.0311,0.0424,0.00446,0.101,0.694,97.922
6757c5642c5d5bfa07627e51,The Weeknd,Can't Feel My Face,0.705,0.769,-5.526,0.0425,0.113,0,0.105,0.583,107.949
6757c5642c5d5bfa07627e38,Galantis,Runaway (U & I),0.506,0.805,-4.119,0.0469,0.00711,0.00193,0.0856,0.383,126.008
6757c5642c5d5bfa07627ffc,Sam Smith,How Do You Sleep?,0.477,0.682,-4.931,0.0925,0.153,0,0.0763,0.345,110.567
6757c5642c5d5bfa07627b67,Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),0.753,0.931,-4.922,0.0652,0.00994,0.00696,0.234,0.767,113.029
6757c5642c5d5bfa07627aca,Arctic Monkeys,When The Sun Goes Down,0.348,0.875,-4.758,0.199,0.0341,0,0.117,0.407,169.152
6757c5642c5d5bfa07627f42,Dynoro,In My Mind,0.694,0.77,-5.335,0.149,0.176,0.000011,0.118,0.163,125.905
6757c5642c5d5bfa07627e0d,Olly Murs,Wrapped Up (feat. Travie McCoy),0.787,0.848,-4.696,0.0549,0.0915,0,0.15,0.947,121.989
6757c5642c5d5bfa07627d9c,Bruno Mars,Treasure,0.874,0.692,-5.28,0.0431,0.0412,0.0000724,0.324,0.937,116.017
6757c5642c5d5bfa07627d75,Taylor Swift,I Knew You Were Trouble.,0.622,0.469,-6.798,0.0363,0.00454,0.00000225,0.0335,0.679,77.019
6757c5642c5d5bfa07627f74,Maluma,Corazón (feat. Nego do Borel),0.722,0.738,-6.073,0.247,0.328,0.0000147,0.198,0.748,198.075
6757c5642c5d5bfa076279ac,Coldplay,Clocks,0.577,0.749,-7.215,0.0279,0.599,0.0115,0.183,0.255,130.97
6757c5642c5d5bfa07627b68,Katy Perry,Hot N Cold,0.706,0.841,-3.956,0.0418,0.0000795,0,0.0688,0.861,132.032
6757c5642c5d5bfa07627be5,Eminem,Crack A Bottle,0.516,0.874,-2.571,0.186,0.0864,0,0.173,0.391,169.561
6757c5642c5d5bfa07627e6c,Jonas Blue,Fast Car,0.644,0.57,-6.994,0.052,0.484,0,0.299,0.527,113.945
6757c5642c5d5bfa0762788c,*NSYNC,It's Gonna Be Me,0.644,0.874,-4.666,0.0801,0.0459,0.00000224,0.0584,0.882,165.09
6757c5642c5d5bfa0762796f,JAY-Z,03' Bonnie & Clyde,0.759,0.678,-5.148,0.314,0.23,0,0.15,0.327,89.64
6757c5642c5d5bfa07627ed1,Kent Jones,Don't Mind,0.464,0.771,-4.503,0.336,0.0235,0,0.063,0.69,158.777
6757c5642c5d5bfa07627d3d,Chris Brown,Don't Wake Me Up,0.602,0.691,-5.197,0.051,0.0548,0,0.144,0.206,127.967
