_id,artist,song,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6757c5642c5d5bfa0762788a,All Saints,Pure Shores,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.0696,0.407,100.618
6757c5642c5d5bfa0762788b,Destiny's Child,"Independent Women, Pt. 1",0.73,0.602,-3.782,0.206,0.362,0.00000369,0.169,0.927,97.954
6757c5642c5d5bfa0762788c,*NSYNC,It's Gonna Be Me,0.644,0.874,-4.666,0.0801,0.0459,0.00000224,0.0584,0.882,165.09
6757c5642c5d5bfa0762788d,Erykah Badu,Bag Lady,0.724,0.416,-8.964,0.0841,0.365,0,0.0969,0.578,151.181
6757c5642c5d5bfa0762788e,Marc Anthony,You Sang To Me,0.578,0.894,-5.42,0.0296,0.0103,0.00000266,0.216,0.741,165.98
6757c5642c5d5bfa0762788f,Matchbox Twenty,Bent,0.518,0.83,-6.814,0.0386,0.0404,0.00000385,0.375,0.527,95.468
6757c5642c5d5bfa07627890,Gabrielle,Rise,0.558,0.481,-9.487,0.026,0.315,0.00000883,0.09,0.631,144.673
6757c5642c5d5bfa07627891,Backstreet Boys,Shape of My Heart,0.575,0.786,-4.353,0.0296,0.252,0,0.159,0.518,96.102
6757c5642c5d5bfa07627892,Creed,With Arms Wide Open,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.117,0.141,138.852
6757c5642c5d5bfa07627893,The Corrs,Breathless,0.607,0.82,-7.754,0.0597,0.0541,0.000068,0.269,0.768,126.988
6757c5642c5d5bfa07627894,Joe,I Wanna Know,0.725,0.487,-5.959,0.0368,0.26,0.0000109,0.431,0.599,136.086
6757c5642c5d5bfa07627895,Wheatus,Teenage Dirtbag,0.625,0.85,-3.904,0.0495,0.346,0.000233,0.174,0.633,94.661
6757c5642c5d5bfa07627896,Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,0.829,0.915,-3.205,0.106,0.226,0.0000125,0.246,0.779,118.903
6757c5642c5d5bfa07627897,Creed,Higher,0.459,0.83,-6.254,0.0364,0.0000515,0.00014,0.206,0.431,155.827
6757c5642c5d5bfa07627898,Britney Spears,Lucky,0.765,0.791,-5.707,0.0317,0.262,0.000154,0.0669,0.966,95.026
